
2023-06-03 15:14:47,428        CRITICAL   client_log_config    Critical error
2023-06-03 15:14:47,428        DEBUG      client_log_config    Debug
2023-06-03 15:15:03,980        DEBUG      client               Корректное сообщение от сервера
2023-06-03 15:15:18,157        DEBUG      client               Корректное сообщение от сервера
2023-06-03 15:15:19,750        DEBUG      client               Корректное сообщение от сервера
2023-06-04 14:21:10,389        DEBUG      client               Корректное сообщение от сервера
2023-06-04 14:21:43,628        DEBUG      client               Корректное сообщение от сервера
2023-06-04 14:21:45,199        DEBUG      client               Корректное сообщение от сервера
2023-06-04 14:21:46,400        DEBUG      client               Корректное сообщение от сервера
2023-06-04 14:22:44,273        DEBUG      client               Корректное сообщение от сервера
2023-06-04 14:22:54,774        DEBUG      client               Корректное сообщение от сервера
2023-06-04 14:22:57,867        DEBUG      client               Корректное сообщение от сервера
2023-06-11 15:28:05,486        DEBUG      client               Была вызвана функция make_presence , была вызвана из функции main().Вызов из модуля __main__.
2023-06-11 15:28:05,492        DEBUG      client               Корректное сообщение от сервера
2023-06-11 15:28:05,492        DEBUG      client               Была вызвана функция server_answer_parser , была вызвана из функции main().Вызов из модуля __main__.
2023-06-11 15:29:14,532        DEBUG      client               Была вызвана функция make_presence , была вызвана из функции main().Вызов из модуля __main__.
2023-06-11 15:29:14,534        DEBUG      client               Корректное сообщение от сервера
2023-06-11 15:29:14,534        DEBUG      client               Была вызвана функция server_answer_parser , была вызвана из функции main().Вызов из модуля __main__.
